,SEMESTER,SPRADDR_ZIP_PR,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,Fall 2012,96766,Kaua`i Community College,73,2012
2,Fall 2012,96792,Leeward Community College,504,2012
9,Fall 2012,96744,Windward Community College,463,2012
30,Fall 2012,96822,University of Hawai`i at Manoa,101,2012
35,Fall 2012,96790,University of Hawai`i at Manoa,20,2012
47,Fall 2012,96789,Honolulu Community College,64,2012
49,Fall 2012,96822,Honolulu Community College,22,2012
51,Fall 2012,96789,Leeward Community College,21,2012
54,Fall 2012,96819,University of Hawai`i at Manoa,5,2012
57,Fall 2012,96720,University of Hawai`i at Hilo,24,2012
62,Fall 2012,96762,University of Hawai`i at Manoa,13,2012
71,Fall 2012,96797,Leeward Community College,4,2012
78,Fall 2012,96825,Honolulu Community College,17,2012
86,Fall 2012,92867,University of Hawai`i at Manoa,1,2012
96,Fall 2012,93455,University of Hawai`i at Hilo,1,2012
106,Fall 2012,96707,University of Hawai`i - West O`ahu,44,2012
116,Fall 2012,96779,University of Hawai`i Maui College,17,2012
125,Fall 2012,96819,University of Hawai`i - West O`ahu,6,2012
131,Fall 2012,96766,Leeward Community College,8,2012
140,Fall 2012,96744,University of Hawai`i at Manoa,2,2012
153,Fall 2012,96820,Kapi`olani Community College,4,2012
164,Fall 2012,96826,Leeward Community College,7,2012
173,Fall 2012,96815,Kapi`olani Community College,46,2012
178,Fall 2012,96730,Windward Community College,20,2012
180,Fall 2012,96732,University of Hawai`i at Hilo,10,2012
187,Fall 2012,96746,Kaua`i Community College,32,2012
192,Fall 2012,96818,Kapi`olani Community College,5,2012
194,Fall 2012,96790,University of Hawai`i Maui College,10,2012
198,Fall 2012,96729,University of Hawai`i - West O`ahu,5,2012
201,Fall 2012,96826,Honolulu Community College,17,2012
202,Fall 2012,96730,University of Hawai`i at Manoa,6,2012
203,Fall 2012,96797,University of Hawai`i at Hilo,9,2012
208,Fall 2012,96709,Kapi`olani Community College,1,2012
230,Fall 2012,96705,University of Hawai`i at Hilo,1,2012
235,Fall 2012,96750,Leeward Community College,2,2012
239,Fall 2012,96720,Leeward Community College,6,2012
254,Fall 2012,96709,University of Hawai`i at Manoa,4,2012
255,Fall 2012,96761,University of Hawai`i at Hilo,5,2012
263,Fall 2012,96748,Kaua`i Community College,2,2012
276,Fall 2012,96741,Leeward Community College,4,2012
277,Fall 2012,96786,Leeward Community College,10,2012
290,Fall 2012,83634,University of Hawai`i at Manoa,1,2012
292,Fall 2012,98296,University of Hawai`i at Manoa,1,2012
295,Fall 2012,96817,University of Hawai`i at Manoa,5,2012
296,Fall 2012,96733,University of Hawai`i Maui College,6,2012
297,Fall 2012,90630,University of Hawai`i at Manoa,3,2012
298,Fall 2012,96783,Hawai`i Community College,12,2012
313,Fall 2012,96707,Windward Community College,13,2012
319,Fall 2012,96825,University of Hawai`i at Manoa,4,2012
327,Fall 2012,96764,Hawai`i Community College,5,2012
328,Fall 2012,96792,Kapi`olani Community College,4,2012
332,Fall 2012,96743,University of Hawai`i at Hilo,1,2012
347,Fall 2012,96740,Leeward Community College,5,2012
355,Fall 2012,17363,University of Hawai`i at Manoa,1,2012
359,Fall 2012,96716,Kaua`i Community College,13,2012
362,Fall 2012,96782,Honolulu Community College,3,2012
369,Fall 2012,96720,Hawai`i Community College,2,2012
370,Fall 2012,96822,Kapi`olani Community College,9,2012
378,Fall 2012,96767,Kapi`olani Community College,1,2012
387,Fall 2012,96744,Kapi`olani Community College,5,2012
394,Fall 2012,96786,University of Hawai`i - West O`ahu,1,2012
395,Fall 2012,96817,University of Hawai`i at Manoa,3,2012
396,Fall 2012,96751,University of Hawai`i - West O`ahu,1,2012
397,Fall 2012,96768,University of Hawai`i at Hilo,2,2012
403,Fall 2012,96720,University of Hawai`i at Manoa,1,2012
411,Fall 2012,96778,University of Hawai`i at Manoa,12,2012
412,Fall 2012,96814,University of Hawai`i at Manoa,1,2012
416,Fall 2012,96778,University of Hawai`i at Hilo,3,2012
423,Fall 2012,96706,University of Hawai`i - West O`ahu,2,2012
424,Fall 2012,91304,University of Hawai`i at Manoa,1,2012
426,Fall 2012,96740,Hawai`i Community College,5,2012
427,Fall 2012,96752,University of Hawai`i at Manoa,8,2012
428,Fall 2012,96746,Windward Community College,4,2012
429,Fall 2012,96797,Honolulu Community College,1,2012
432,Fall 2012,96732,Honolulu Community College,2,2012
438,Fall 2012,96720,University of Hawai`i - West O`ahu,2,2012
451,Fall 2012,96768,University of Hawai`i Maui College,1,2012
456,Fall 2012,94551,University of Hawai`i at Manoa,1,2012
461,Fall 2012,96817,University of Hawai`i at Hilo,2,2012
472,Fall 2012,89148,Leeward Community College,1,2012
473,Fall 2012,94561,University of Hawai`i at Manoa,1,2012
490,Fall 2012,93455,University of Hawai`i at Manoa,1,2012
496,Fall 2012,96728,Hawai`i Community College,4,2012
510,Fall 2012,96782,Windward Community College,7,2012
523,Fall 2012,94579,University of Hawai`i at Manoa,1,2012
525,Fall 2012,98826,University of Hawai`i at Manoa,1,2012
532,Fall 2012,96783,University of Hawai`i at Hilo,6,2012
536,Fall 2012,96793,Hawai`i Community College,7,2012
538,Fall 2012,96740,University of Hawai`i at Hilo,2,2012
541,Fall 2012,96825,Honolulu Community College,1,2012
544,Fall 2012,96713,University of Hawai`i at Manoa,3,2012
548,Fall 2012,96825,Kapi`olani Community College,1,2012
558,Fall 2012,96793,Kapi`olani Community College,1,2012
559,Fall 2012,96745,University of Hawai`i - West O`ahu,1,2012
564,Fall 2012,90745,University of Hawai`i at Hilo,1,2012
568,Fall 2012,96763,Honolulu Community College,2,2012
569,Fall 2012,96799,University of Hawai`i at Hilo,1,2012
574,Fall 2012,96753,Kapi`olani Community College,2,2012
581,Fall 2012,96819,Honolulu Community College,1,2012
605,Fall 2012,96828,Kapi`olani Community College,1,2012
608,Fall 2012,96749,Hawai`i Community College,3,2012
621,Fall 2012,96799,University of Hawai`i at Manoa,1,2012
637,Fall 2012,94544,University of Hawai`i at Manoa,1,2012
657,Fall 2012,96789,Kapi`olani Community College,6,2012
661,Fall 2012,96821,Kapi`olani Community College,1,2012
664,Fall 2012,96790,University of Hawai`i - West O`ahu,2,2012
667,Fall 2012,96719,University of Hawai`i Maui College,1,2012
670,Fall 2012,96777,University of Hawai`i at Manoa,1,2012
675,Fall 2012,96744,University of Hawai`i at Manoa,1,2012
679,Fall 2012,96760,Honolulu Community College,1,2012
683,Fall 2012,96712,Honolulu Community College,5,2012
684,Fall 2012,96797,Hawai`i Community College,1,2012
685,Fall 2012,96807-1242,Leeward Community College,1,2012
695,Fall 2012,96721,Honolulu Community College,1,2012
696,Fall 2012,96721,Kapi`olani Community College,1,2012
699,Fall 2012,96774,University of Hawai`i at Manoa,1,2012
712,Fall 2012,96706,Honolulu Community College,5,2012
722,Fall 2012,96737,Hawai`i Community College,1,2012
726,Fall 2012,96792,Leeward Community College,1,2012
734,Fall 2012,96789,Hawai`i Community College,2,2012
742,Fall 2012,94546,University of Hawai`i at Manoa,1,2012
745,Fall 2012,96792,Leeward Community College,2,2012
747,Fall 2012,96819-1404,University of Hawai`i at Manoa,1,2012
761,Fall 2012,96821,University of Hawai`i at Manoa,2,2012
763,Fall 2012,96744 2776,University of Hawai`i at Manoa,1,2012
775,Fall 2012,96786,Leeward Community College,2,2012
776,Fall 2012,96732,Leeward Community College,4,2012
779,Fall 2012,96729,Windward Community College,1,2012
783,Fall 2012,98531,University of Hawai`i at Manoa,1,2012
785,Fall 2012,96782,Hawai`i Community College,2,2012
786,Fall 2012,96815,Kapi`olani Community College,2,2012
798,Fall 2012,96789,Honolulu Community College,2,2012
799,Fall 2012,91343,University of Hawai`i at Manoa,1,2012
802,Fall 2012,96744,Leeward Community College,3,2012
803,Fall 2012,96748,Hawai`i Community College,2,2012
809,Fall 2012,96786,University of Hawai`i Maui College,1,2012
836,Fall 2012,96763-0304,Kapi`olani Community College,1,2012
838,Fall 2012,96788-0647,University of Hawai`i Maui College,1,2012
852,Fall 2012,96720,University of Hawai`i at Hilo,1,2012
853,Fall 2012,96733,Kapi`olani Community College,1,2012
868,Fall 2012,96749,Hawai`i Community College,1,2012
869,Fall 2012,96749,University of Hawai`i at Hilo,1,2012
871,Fall 2012,92253,Kapi`olani Community College,1,2012
876,Fall 2012,96797,University of Hawai`i - West O`ahu,2,2012
879,Fall 2012,96779,University of Hawai`i Maui College,3,2012
880,Fall 2012,98003,University of Hawai`i at Hilo,2,2012
885,Fall 2012,96763,University of Hawai`i at Manoa,3,2012
910,Fall 2012,14616,University of Hawai`i at Manoa,1,2012
914,Fall 2012,96788,University of Hawai`i at Hilo,1,2012
924,Fall 2012,96744,University of Hawai`i at Manoa,1,2012
930,Fall 2012,96712,University of Hawai`i at Hilo,2,2012
932,Fall 2012,96716,University of Hawai`i - West O`ahu,2,2012
935,Fall 2012,90631,University of Hawai`i at Manoa,1,2012
937,Fall 2012,96824,University of Hawai`i at Manoa,1,2012
939,Fall 2012,96701,Honolulu Community College,1,2012
942,Fall 2012,96734,Kapi`olani Community College,1,2012
944,Fall 2012,96720-1825,University of Hawai`i at Hilo,1,2012
945,Fall 2012,96778,University of Hawai`i Maui College,2,2012
947,Fall 2012,94549,University of Hawai`i at Manoa,1,2012
956,Fall 2012,94558,University of Hawai`i at Manoa,1,2012
961,Fall 2012,89129,Windward Community College,1,2012
967,Fall 2012,96704,Leeward Community College,2,2012
972,Fall 2012,96785,University of Hawai`i at Manoa,3,2012
973,Fall 2012,96803,Kapi`olani Community College,1,2012
976,Fall 2012,91701,University of Hawai`i at Manoa,1,2012
978,Fall 2012,96791,Kapi`olani Community College,1,2012
980,Fall 2012,94560,University of Hawai`i at Manoa,1,2012
985,Fall 2012,96766-9085,Kaua`i Community College,1,2012
988,Fall 2012,08867,University of Hawai`i at Manoa,1,2012
991,Fall 2012,96756,Kaua`i Community College,1,2012
995,Fall 2012,92344,Kapi`olani Community College,1,2012
1002,Fall 2012,99633,Hawai`i Community College,1,2012
1011,Fall 2012,98903,University of Hawai`i at Manoa,1,2012
1027,Fall 2012,96725,Hawai`i Community College,1,2012
1032,Fall 2012,96796,Honolulu Community College,2,2012
1037,Fall 2012,96790,Windward Community College,1,2012
1039,Fall 2012,96817,Honolulu Community College,2,2012
1040,Fall 2012,96792,Leeward Community College,1,2012
1050,Fall 2012,96720-2661,University of Hawai`i at Hilo,1,2012
1054,Fall 2012,96766,University of Hawai`i Maui College,2,2012
1057,Fall 2012,96737,Kapi`olani Community College,1,2012
1062,Fall 2012,96750,Hawai`i Community College,1,2012
1093,Fall 2012,96784,University of Hawai`i Maui College,1,2012
1097,Fall 2012,96793-2709,University of Hawai`i Maui College,1,2012
1117,Fall 2012,96782,Leeward Community College,1,2012
1122,Fall 2012,96754,Hawai`i Community College,1,2012
1126,Fall 2012,96822,Honolulu Community College,1,2012
1130,Fall 2012,96732,Kapi`olani Community College,3,2012
1151,Fall 2012,96836,Honolulu Community College,1,2012
1154,Fall 2012,96748,Windward Community College,1,2012
1157,Fall 2012,96756,Hawai`i Community College,1,2012
1172,Fall 2012,96714,University of Hawai`i at Manoa,2,2012
1193,Fall 2012,96793-9602,University of Hawai`i Maui College,1,2012
1202,Fall 2012,96793,University of Hawai`i at Hilo,1,2012
1211,Fall 2012,96740,Hawai`i Community College,1,2012
1212,Fall 2012,96732,Kaua`i Community College,1,2012
1215,Fall 2012,90717,University of Hawai`i at Hilo,1,2012
1222,Fall 2012,96701-5033,University of Hawai`i - West O`ahu,1,2012
1242,Fall 2012,96743,Hawai`i Community College,1,2012
1250,Fall 2012,89129,University of Hawai`i at Manoa,1,2012
1255,Fall 2012,96731,Windward Community College,1,2012
1262,Fall 2012,96815,Kapi`olani Community College,1,2012
1288,Fall 2012,96717,Kapi`olani Community College,1,2012
1296,Fall 2012,96789,Kapi`olani Community College,1,2012
1297,Fall 2012,96812,Kapi`olani Community College,1,2012
1304,Fall 2012,96713,Hawai`i Community College,1,2012
1307,Fall 2012,95336,University of Hawai`i at Manoa,1,2012
1311,Fall 2012,96788,Kaua`i Community College,1,2012
1325,Fall 2013,96740,University of Hawai`i at Hilo,34,2013
1331,Fall 2013,96793,University of Hawai`i Maui College,307,2013
1333,Fall 2013,96734,Windward Community College,183,2013
1334,Fall 2013,96734,Kapi`olani Community College,71,2013
1340,Fall 2013,96708,University of Hawai`i Maui College,41,2013
1346,Fall 2013,96822,University of Hawai`i at Manoa,1,2013
1354,Fall 2013,96766,Kaua`i Community College,83,2013
1355,Fall 2013,96782,Leeward Community College,121,2013
1356,Fall 2013,96778,Hawai`i Community College,111,2013
1362,Fall 2013,96792,Honolulu Community College,71,2013
1364,Fall 2013,96768,University of Hawai`i Maui College,123,2013
1365,Fall 2013,96797,Kapi`olani Community College,29,2013
1377,Fall 2013,96816,University of Hawai`i at Hilo,1,2013
1380,Fall 2013,96789,University of Hawai`i at Manoa,127,2013
1389,Fall 2013,94954,University of Hawai`i at Manoa,1,2013
1405,Fall 2013,96816,University of Hawai`i at Manoa,135,2013
1408,Fall 2013,96813,Honolulu Community College,44,2013
1412,Fall 2013,96822,Leeward Community College,9,2013
1420,Fall 2013,96707,Leeward Community College,12,2013
1430,Fall 2013,96770,University of Hawai`i Maui College,9,2013
1435,Fall 2013,96709,Leeward Community College,6,2013
1458,Fall 2013,96752,Kaua`i Community College,29,2013
1471,Fall 2013,96797,Honolulu Community College,40,2013
1481,Fall 2013,96818,Leeward Community College,35,2013
1482,Fall 2013,96779,Honolulu Community College,1,2013
1483,Fall 2013,96779,Kapi`olani Community College,1,2013
1489,Fall 2013,96753,Hawai`i Community College,1,2013
1494,Fall 2013,96815,Kapi`olani Community College,36,2013
1498,Fall 2013,96746,Kapi`olani Community College,14,2013
1512,Fall 2013,96706,Windward Community College,8,2013
1517,Fall 2013,96781,Kapi`olani Community College,1,2013
1519,Fall 2013,96778,University of Hawai`i at Hilo,38,2013
1528,Fall 2013,96783,Hawai`i Community College,14,2013
1529,Fall 2013,96819,Honolulu Community College,78,2013
1532,Fall 2013,96790,University of Hawai`i at Manoa,21,2013
1536,Fall 2013,96708,University of Hawai`i at Manoa,8,2013
1556,Fall 2013,44839,Honolulu Community College,1,2013
1564,Fall 2013,96822,Honolulu Community College,3,2013
1575,Fall 2013,96720,University of Hawai`i at Hilo,2,2013
1579,Fall 2013,96761,University of Hawai`i at Hilo,9,2013
1580,Fall 2013,96753,University of Hawai`i at Manoa,8,2013
1599,Fall 2013,96707,Kapi`olani Community College,3,2013
1602,Fall 2013,96786,University of Hawai`i at Hilo,9,2013
1608,Fall 2013,96753,University of Hawai`i at Hilo,2,2013
1610,Fall 2013,96729,Honolulu Community College,1,2013
1613,Fall 2013,96748,Honolulu Community College,5,2013
1614,Fall 2013,96778,Honolulu Community College,2,2013
1616,Fall 2013,96763,University of Hawai`i Maui College,8,2013
1621,Fall 2013,96797,University of Hawai`i at Manoa,6,2013
1624,Fall 2013,96785,Hawai`i Community College,8,2013
1625,Fall 2013,96822,University of Hawai`i - West O`ahu,4,2013
1627,Fall 2013,96797,University of Hawai`i at Manoa,1,2013
1629,Fall 2013,96826,Hawai`i Community College,1,2013
1631,Fall 2013,96784,University of Hawai`i Maui College,11,2013
1633,Fall 2013,96750,University of Hawai`i - West O`ahu,1,2013
1634,Fall 2013,96744,University of Hawai`i at Manoa,17,2013
1639,Fall 2013,96733,Kapi`olani Community College,2,2013
1643,Fall 2013,96744,Windward Community College,2,2013
1647,Fall 2013,96732,Kapi`olani Community College,3,2013
1650,Fall 2013,96738,University of Hawai`i at Manoa,2,2013
1652,Fall 2013,96797,Leeward Community College,2,2013
1653,Fall 2013,96795,Honolulu Community College,3,2013
1667,Fall 2013,96797,University of Hawai`i at Hilo,11,2013
1669,Fall 2013,96725,University of Hawai`i at Manoa,1,2013
1670,Fall 2013,96748,University of Hawai`i at Manoa,15,2013
1683,Fall 2013,96789,Kapi`olani Community College,1,2013
1685,Fall 2013,96713,University of Hawai`i at Manoa,3,2013
1691,Fall 2013,96825,University of Hawai`i at Manoa,4,2013
1693,Fall 2013,96797,Leeward Community College,3,2013
1732,Fall 2013,96799,University of Hawai`i at Manoa,4,2013
1736,Fall 2013,96740,Windward Community College,8,2013
1740,Fall 2013,92106,Honolulu Community College,1,2013
1754,Fall 2013,09173,University of Hawai`i Maui College,1,2013
1756,Fall 2013,96876,Honolulu Community College,1,2013
1762,Fall 2013,99218,University of Hawai`i at Manoa,1,2013
1770,Fall 2013,96713,University of Hawai`i at Hilo,3,2013
1777,Fall 2013,96763,University of Hawai`i - West O`ahu,1,2013
1782,Fall 2013,96789,Hawai`i Community College,5,2013
1785,Fall 2013,85224,University of Hawai`i at Manoa,1,2013
1790,Fall 2013,96771,University of Hawai`i at Manoa,7,2013
1792,Fall 2013,96732,Honolulu Community College,2,2013
1796,Fall 2013,96727,Windward Community College,1,2013
1799,Fall 2013,96826,Honolulu Community College,1,2013
1804,Fall 2013,96792,University of Hawai`i at Manoa,1,2013
1813,Fall 2013,92236,University of Hawai`i at Manoa,1,2013
1815,Fall 2013,96708,Hawai`i Community College,2,2013
1819,Fall 2013,96761,University of Hawai`i Maui College,3,2013
1827,Fall 2013,96740,Honolulu Community College,7,2013
1830,Fall 2013,91739,University of Hawai`i at Manoa,1,2013
1846,Fall 2013,96718,Hawai`i Community College,1,2013
1853,Fall 2013,96813,Windward Community College,9,2013
1859,Fall 2013,96768,University of Hawai`i - West O`ahu,8,2013
1875,Fall 2013,96816,University of Hawai`i - West O`ahu,2,2013
1878,Fall 2013,96779,University of Hawai`i - West O`ahu,2,2013
1883,Fall 2013,96750,University of Hawai`i at Hilo,6,2013
1884,Fall 2013,95821,Leeward Community College,1,2013
1889,Fall 2013,90815,University of Hawai`i at Manoa,1,2013
1892,Fall 2013,96789,Kapi`olani Community College,2,2013
1894,Fall 2013,92154,University of Hawai`i at Manoa,1,2013
1902,Fall 2013,22015,University of Hawai`i at Manoa,2,2013
1903,Fall 2013,96816,Honolulu Community College,1,2013
1905,Fall 2013,96716,Kaua`i Community College,11,2013
1913,Fall 2013,96740,Hawai`i Community College,2,2013
1918,Fall 2013,96765,University of Hawai`i Maui College,2,2013
1921,Fall 2013,96791,Kapi`olani Community College,2,2013
1929,Fall 2013,96799,University of Hawai`i at Manoa,1,2013
1934,Fall 2013,96740,Hawai`i Community College,3,2013
1935,Fall 2013,96750,Hawai`i Community College,2,2013
1936,Fall 2013,96768,Windward Community College,3,2013
1945,Fall 2013,92120,University of Hawai`i at Manoa,1,2013
1947,Fall 2013,96793,University of Hawai`i Maui College,2,2013
1960,Fall 2013,96712,Kapi`olani Community College,1,2013
1961,Fall 2013,96701,Leeward Community College,1,2013
1967,Fall 2013,96797,University of Hawai`i - West O`ahu,1,2013
1972,Fall 2013,96744,University of Hawai`i at Manoa,1,2013
1973,Fall 2013,96744,Windward Community College,2,2013
1988,Fall 2013,91377,University of Hawai`i at Manoa,1,2013
1991,Fall 2013,93021,University of Hawai`i at Manoa,1,2013
2000,Fall 2013,96782,Windward Community College,6,2013
2001,Fall 2013,96712,Leeward Community College,3,2013
2007,Fall 2013,98003,University of Hawai`i at Hilo,2,2013
2014,Fall 2013,96819,Kapi`olani Community College,2,2013
2031,Fall 2013,22624,University of Hawai`i at Manoa,1,2013
2035,Fall 2013,96819,Honolulu Community College,2,2013
2036,Fall 2013,96817,Leeward Community College,13,2013
2039,Fall 2013,95841,University of Hawai`i at Manoa,1,2013
2045,Fall 2013,96740,University of Hawai`i at Manoa,2,2013
2046,Fall 2013,96795,University of Hawai`i at Manoa,2,2013
2051,Fall 2013,91001,University of Hawai`i at Manoa,1,2013
2058,Fall 2013,96826,Kaua`i Community College,1,2013
2076,Fall 2013,96745,Windward Community College,1,2013
2100,Fall 2013,93955,University of Hawai`i at Manoa,1,2013
2109,Fall 2013,96768,Kapi`olani Community College,1,2013
2110,Fall 2013,94549,University of Hawai`i at Manoa,1,2013
2118,Fall 2013,96763,Honolulu Community College,3,2013
2134,Fall 2013,96792 2124,University of Hawai`i at Manoa,1,2013
2147,Fall 2013,94558,University of Hawai`i at Manoa,1,2013
2151,Fall 2013,96712,Honolulu Community College,3,2013
2156,Fall 2013,96728,University of Hawai`i at Hilo,4,2013
2166,Fall 2013,96814-1053,Honolulu Community College,1,2013
2184,Fall 2013,27597,University of Hawai`i at Manoa,1,2013
2193,Fall 2013,96814,Kapi`olani Community College,1,2013
2198,Fall 2013,96743,University of Hawai`i at Hilo,1,2013
2200,Fall 2013,95136,University of Hawai`i at Manoa,1,2013
2201,Fall 2013,96757,Leeward Community College,2,2013
2202,Fall 2013,96704,Leeward Community College,1,2013
2219,Fall 2013,96818,University of Hawai`i - West O`ahu,1,2013
2225,Fall 2013,96766,University of Hawai`i - West O`ahu,1,2013
2228,Fall 2013,96731,Leeward Community College,2,2013
2239,Fall 2013,96795,Windward Community College,1,2013
2248,Fall 2013,96772,University of Hawai`i at Hilo,1,2013
2256,Fall 2013,96792,Leeward Community College,1,2013
2261,Fall 2013,96822,Kapi`olani Community College,1,2013
2272,Fall 2013,96848,University of Hawai`i at Manoa,1,2013
2303,Fall 2013,95111,Kapi`olani Community College,1,2013
2308,Fall 2013,96824,Kapi`olani Community College,2,2013
2311,Fall 2013,96778,Hawai`i Community College,2,2013
2320,Fall 2013,96738,Leeward Community College,1,2013
2322,Fall 2013,96816,Honolulu Community College,1,2013
2325,Fall 2013,96752,University of Hawai`i - West O`ahu,1,2013
2331,Fall 2013,96701,University of Hawai`i at Manoa,1,2013
2333,Fall 2013,96732,University of Hawai`i at Hilo,1,2013
2335,Fall 2013,96821,University of Hawai`i at Hilo,3,2013
2340,Fall 2013,96783,Leeward Community College,1,2013
2341,Fall 2013,96825,University of Hawai`i at Manoa,1,2013
2344,Fall 2013,96815,Kapi`olani Community College,1,2013
2345,Fall 2013,96720,Kapi`olani Community College,1,2013
2382,Fall 2013,96719,University of Hawai`i at Manoa,1,2013
2418,Fall 2013,96716-0289,Kapi`olani Community College,1,2013
2422,Fall 2013,96817,Kapi`olani Community College,1,2013
2439,Fall 2013,96705,Windward Community College,1,2013
2440,Fall 2013,96704,University of Hawai`i at Manoa,1,2013
2441,Fall 2013,96725,University of Hawai`i at Hilo,1,2013
2447,Fall 2013,96815,Leeward Community College,1,2013
2452,Fall 2013,96791,Windward Community College,1,2013
2453,Fall 2013,96793,Kapi`olani Community College,1,2013
2456,Fall 2013,96740,Kapi`olani Community College,1,2013
2458,Fall 2013,96768,Honolulu Community College,1,2013
2461,Fall 2013,96819,University of Hawai`i at Manoa,1,2013
2465,Fall 2013,96818,Leeward Community College,1,2013
2471,Fall 2013,96815-4171,University of Hawai`i at Manoa,1,2013
2474,Fall 2013,96825,Kapi`olani Community College,1,2013
2477,Fall 2013,96706,Leeward Community College,1,2013
2480,Fall 2013,94536,University of Hawai`i at Manoa,1,2013
2481,Fall 2013,96750,Kaua`i Community College,1,2013
2485,Fall 2013,96746,University of Hawai`i Maui College,2,2013
2494,Fall 2013,96822-4473,Kapi`olani Community College,1,2013
2496,Fall 2013,96748,University of Hawai`i Maui College,1,2013
2508,Fall 2013,96720,Hawai`i Community College,1,2013
2519,Fall 2013,96744-2792,Windward Community College,1,2013
2533,Fall 2013,96929,University of Hawai`i at Manoa,1,2013
2537,Fall 2013,94502,University of Hawai`i at Manoa,1,2013
2546,Fall 2013,96713,Honolulu Community College,1,2013
2557,Fall 2013,96793 1299,Kapi`olani Community College,1,2013
2558,Fall 2013,96793 1299,University of Hawai`i at Manoa,1,2013
2574,Fall 2013,94080,University of Hawai`i at Manoa,1,2013
2588,Fall 2013,96786,Honolulu Community College,1,2013
2599,Fall 2013,92589,University of Hawai`i at Manoa,1,2013
2600,Fall 2013,96721,Honolulu Community College,1,2013
2603,Fall 2013,96767,Hawai`i Community College,1,2013
2611,Fall 2013,96759,Honolulu Community College,1,2013
2626,Fall 2013,03044,University of Hawai`i at Manoa,1,2013
2630,Fall 2013,96826,Kapi`olani Community College,1,2013
2641,Fall 2013,75156,University of Hawai`i at Manoa,1,2013
2650,Fall 2013,98387,University of Hawai`i at Manoa,1,2013
2666,Fall 2013,94568,University of Hawai`i at Manoa,1,2013
2667,Fall 2013,96731,University of Hawai`i at Hilo,1,2013
2668,Fall 2014,96746,Kaua`i Community College,101,2014
2683,Fall 2014,96706,University of Hawai`i - West O`ahu,59,2014
2687,Fall 2014,96734,University of Hawai`i at Manoa,127,2014
2688,Fall 2014,96709,Leeward Community College,4,2014
2700,Fall 2014,96789,University of Hawai`i at Manoa,126,2014
2703,Fall 2014,91207,University of Hawai`i at Manoa,1,2014
2705,Fall 2014,96813,Honolulu Community College,2,2014
2713,Fall 2014,96791,Leeward Community College,29,2014
2716,Fall 2014,96778,University of Hawai`i at Hilo,45,2014
2717,Fall 2014,96740,Hawai`i Community College,77,2014
2719,Fall 2014,95624,Kapi`olani Community College,1,2014
2720,Fall 2014,96783,University of Hawai`i at Hilo,5,2014
2726,Fall 2014,85139,University of Hawai`i Maui College,1,2014
2731,Fall 2014,96748,University of Hawai`i Maui College,41,2014
2732,Fall 2014,96771,University of Hawai`i at Hilo,23,2014
2743,Fall 2014,96730,Windward Community College,19,2014
2744,Fall 2014,96819,University of Hawai`i at Manoa,65,2014
2749,Fall 2014,96729,Hawai`i Community College,2,2014
2755,Fall 2014,96707,Honolulu Community College,44,2014
2776,Fall 2014,93030,University of Hawai`i at Hilo,1,2014
2778,Fall 2014,96781,Windward Community College,3,2014
2780,Fall 2014,96826,University of Hawai`i at Manoa,38,2014
2782,Fall 2014,96760,Hawai`i Community College,42,2014
2787,Fall 2014,96822,Kapi`olani Community College,4,2014
2805,Fall 2014,96706,University of Hawai`i at Hilo,12,2014
2813,Fall 2014,96768,University of Hawai`i at Hilo,10,2014
2821,Fall 2014,80304,University of Hawai`i at Manoa,1,2014
2824,Fall 2014,96792,Windward Community College,17,2014
2835,Fall 2014,96701,University of Hawai`i - West O`ahu,25,2014
2836,Fall 2014,96752,University of Hawai`i at Manoa,5,2014
2840,Fall 2014,84094,University of Hawai`i Maui College,1,2014
2845,Fall 2014,96796,Leeward Community College,1,2014
2852,Fall 2014,96709,University of Hawai`i - West O`ahu,3,2014
2858,Fall 2014,96788,Windward Community College,1,2014
2866,Fall 2014,96786,University of Hawai`i at Manoa,34,2014
2872,Fall 2014,96819,Honolulu Community College,7,2014
2878,Fall 2014,96778,Hawai`i Community College,1,2014
2879,Fall 2014,96785,University of Hawai`i at Manoa,4,2014
2884,Fall 2014,96778,Honolulu Community College,1,2014
2885,Fall 2014,96707,University of Hawai`i at Manoa,1,2014
2886,Fall 2014,96731,University of Hawai`i at Manoa,3,2014
2890,Fall 2014,96744,University of Hawai`i Maui College,2,2014
2892,Fall 2014,96822,University of Hawai`i - West O`ahu,5,2014
2893,Fall 2014,96770,Leeward Community College,2,2014
2898,Fall 2014,96793,University of Hawai`i - West O`ahu,15,2014
2899,Fall 2014,96816,Leeward Community College,9,2014
2904,Fall 2014,96826,University of Hawai`i at Manoa,1,2014
2907,Fall 2014,96727,Hawai`i Community College,17,2014
2908,Fall 2014,96740,University of Hawai`i - West O`ahu,1,2014
2910,Fall 2014,96744,University of Hawai`i at Manoa,10,2014
2934,Fall 2014,96708,University of Hawai`i Maui College,1,2014
2937,Fall 2014,96719,Hawai`i Community College,5,2014
2942,Fall 2014,96707,Honolulu Community College,2,2014
2943,Fall 2014,96707,University of Hawai`i - West O`ahu,1,2014
2945,Fall 2014,96749,Windward Community College,5,2014
2949,Fall 2014,96797,Honolulu Community College,1,2014
2952,Fall 2014,96701-5033,University of Hawai`i - West O`ahu,1,2014
2953,Fall 2014,96804,University of Hawai`i at Manoa,1,2014
2954,Fall 2014,96819,Kapi`olani Community College,2,2014
